"","results"
"1","Here are the extracted details:

1. **Kampong**:
	* Not mentioned.
2. **Price**:
	* Not specified (only mentions ""500 deposit"")
3. **Type**:
	* None of the specific types (apartment, bungalow, detached, semi-detached) were mentioned.
4. **Storey**:
	* Not specified (single or double storey).
5. **Status**:
	* Proposed (mentioned as ""if you're interested..."").
6. **Land_size**:
	* 0.125 acres
7. **Floor_size**:
	* 1098 sqft
8. **Beds**:
	* 3 bedrooms
9. **Baths**:
	* 2 bathrooms
10. **Land_type**:
	* Kekal (a type of land tenure in Brunei)
11. **Additional Remark**:
	* The remaining details are as follows:
		+ Features: Not specified.
		+ Deposit: Only $500 required.
		+ Contact method: DM's or WhatsApp to Freddie at 8380222 for further information.
			- Floor plans available upon request.
			- Free entitlement check offered.
			- Assistance with home purchasing process available."
"2","Here are the extracted details:

1. **Kampong:**
	* Maraburong Keriam
2. **Price:** No price mentioned
3. **Type:**
	* Semi-detached bungalow
4. **Storey:**
	* Not specified (implied to be single storey based on the description)
5. **Status:**
	* For sale
6. **Land_size:**
	* 0.062 acres
7. **Floor_size:**
	* 1206 sqft
8. **Beds:**
	* 3 bedrooms
9. **Baths:**
	* 2 bathrooms
10. **Land_type:**
	* Kekal (in-perpetuity)
11. **Additional Remark:**
	* Affordable
	* Located at Simpang 149, Jalan Tutong"
"3","Here are the extracted details:

**kampong:** None mentioned, as this is not relevant to the provided text.

**price:** No price details mentioned.

**type:**

* Apartment: Not mentioned
* Bungalow: Not mentioned
* Detached: Not mentioned
* Semi-detached: Not mentioned (although ""detached"" might be implied in the context of a single house, but it's not directly stated)

However, it seems that there is an apartment/bungalow reference made to plot 1 and plot 3 respectively, but this is a bit unclear. Assuming it refers to a residential unit:

**type:** The text implies two types: ""plot"" without specifying, and mentions apartments (though indirectly for plot 1) and bungalows (indirectly for plot 3)

**storey:** Single storey or double storey not mentioned.

**status:** Proposed (not explicitly stated but it seems like the property is being offered as a potential purchase option).

**land_size:**

* Plot 1: Not directly mentioned
* Plot 3: 0.125 ac

**floor_size:**

* Plot 1: 1033 sqft
* Plot 3: 1097 sqft

**beds:** 3 bedrooms.

**baths:** 2 bathrooms.

**land_type:** Kekal (perpetuity).

**Additional Remark:** The remaining details are:

- A deposit of 500 is required.
- Contact information for Freddie is provided for further inquiries, which include DM's or WhatsApp to 8380222."
"4","Here are the extracted details:

1. **Kampong:**
	* The kampong mentioned is Lumapas.
2. **Price:**
	* The price of the property is BND 150,000 (modest).
3. **Type:**
	* The type of property is a modern detached-link bungalow.
4. **Storey:**
	* Not explicitly stated, but it can be inferred that it's a single-storey or possibly single-story with a link, as the term ""link"" is used to describe the property.
5. **Status:**
	* The status of the property is for sale (last unit available).
6. **Land Size:**
	* The land size is approximately 0.064 acres.
7. **Floor Size:**
	* The floor size is not explicitly stated, but it can be inferred that it's around 1580 sqft based on the text.
8. **Beds:**
	* The number of bedrooms is 4.
9. **Baths:**
	* The number of bathrooms is 2.
10. **Land Type:**
	* The land type is Kekal (perpetual ownership).
11. **Additional Remark:**
	* The property offers a great opportunity for average-income buyers to purchase a home in a convenient location with easy access to the heart of Bandar and Kiulap One Riverside.
	* It's located on a wide road, providing a peaceful and quiet neighborhood.
	* The buyer can contact Freddie (8380222) through DMs or WhatsApp for further information."
"5","Here are the extracted details:

**Kampong:** None mentioned (as this is not relevant to the provided text, which seems to be related to real estate listings in Brunei)

**Price:**
* No price details mentioned in the text

**Type:**
* Apartment
* Bungalow
* Detached
* Semi-detached

**Storey:**
* Not explicitly stated (but implied as single-storey based on the floor size being 1033/1097 sqft)

**Status:**
* New (or at least, already built and available for sale)
* Proposed (not applicable, as it's already mentioned as ""new"")
* Under-construction (not applicable, as it's already mentioned as ""new"")

**Land_size:**
* Plot 4: Not explicitly stated
* Plot 5: Not explicitly stated
* Plot 6: Not explicitly stated

However, based on the provided information:
* Land size is not directly mentioned. However, we can infer that the land size is approximately 0.076/0.077/0.105 ac for plots 4/5/6 respectively.

**Floor_size:**
* Plot 4: 1033 sqft
* Plot 5: 1033 sqft
* Plot 6: 1097 sqft

**Beds:** 
* 3 bedrooms (as mentioned in the ""features"" section)

**Baths:** 
* 2 bathrooms (as mentioned in the ""features"" section)

**Land_type:**
* Kekal land (leasehold, in perpetuity, or kekal are often used interchangeably in Brunei real estate listings; however, based on context, this appears to be a correct categorization)

**Additional Remark:** 
* The remaining details include:
	+ ""Land Kekal"" (as mentioned above)
	+ Full loan T&C applies
	+ 500 deposit only
	+ Contact the seller through DM's or WhatsApp for further information."
"6","Here are the extracted details:

1. **Kampong**: None mentioned, but Brunei is implied as the location.
2. **Price**:
	* Early bird sale price: not specified
	* Deposit required: $500
3. **Type**:
	* Apartment
	* Bungalow
	* Detached
	* Semi-detached (not explicitly stated, but implied)
4. **Storey**: None mentioned, but it is implied to be either single or double storey.
5. **Status**: Not explicitly stated, but the early bird sale and complimentary upgrades suggest that it may be new or proposed.
6. **Land Size**: Not specified
7. **Floor Size**: Not specified
8. **Beds** (Number of bedrooms): Not specified
9. **Baths** (Number of bathrooms): Not specified
10. **Land Type**: None mentioned, but Leasehold is implied.
11. **Additional Remark**: The early bird sale offer includes:
	* Complimentary upgrades valued up to $5000
	* Only a $500 deposit required to get started"
"7","Here are the extracted details:

1. **Kampong**: Not mentioned, but it's stated that the property is located in Brunei.
2. **Price**:
	* No specific price mentioned, but there's an offer of SGD 5000 discount for the first 3 buyers.
3. **Type**:
	* Apartment
	* Bungalow
	* Detached
	* Semi-detached (no specific type mentioned)
4. **Storey**: Not mentioned (single storey or double storey is not specified).
5. **Status**: 
	* Proposed
6. **Land Size**: Not mentioned.
7. **Floor Size**: Not mentioned.
8. **Beds** (Number of bedrooms): Not mentioned.
9. **Baths** (Number of bathrooms): Not mentioned.
10. **Land Type**: Leasehold
11. **Additional Remark**:
	* Current status: Earthwork
	* Offer: SGD 5000 discount for the first 3 buyers
	* Additional features/amenities: Free consultation and a floor plan, repayment plan (details not specified)
12. **Caption**:
	* Due to unapproved loan applications, there are now more units left for sale.
	* Located in Rakyat Jati."
"8","Here are the extracted details:

**1. Kampong:**
- Tungku (a village in Brunei)

**2. Price:**
- Plot A: $375,000
- Plot B: $385,000

**3. Type:**
- Apartment, Bungalow, Detached, Semi-detached (not explicitly mentioned as such, but implied as different types of homes)

**4. Storey:**
- Not specified (single or double storey not mentioned)

**5. Status:**
- Ongoing development
- Completion expected end of 2022

**6. Land_size:**
- Plot A: $375,000 (price implies land size, but no explicit size given)
- Plot B: $385,000 (similar to plot A, price implies land size)

**7. Floor_size:**
- Not specified

**8. Beds:**
- Number of bedrooms not explicitly mentioned

**9. Baths:**
- Number of bathrooms not explicitly mentioned

**10. Land_type:**
- Kekal (land ownership type in Brunei)

**11. Additional Remark:**
- The development is situated on a prime and strategic location.
- Easy access to Gadong, Jerudong, Rimba Beribi through nearby highways.
- Full loan entitlement for government workers.
- Ongoing development expected to be completed by end of 2022.

Note that some details like the number of bedrooms and bathrooms are not explicitly mentioned in the text."
"9","Here are the extracted details:

1. **Kampong**: Kampong Tutong
2. **Price**: Not mentioned explicitly, but implied as ""affordable""
3. **Type**:
	* Apartment: None mentioned
	* Bungalow: Semi-detached bungalow
	* Detached: None mentioned
	* Semi-detached: Yes, semi-detached bungalow
4. **Storey**: Single storey (1092 sqft total floor area)
5. **Status**: For sale (not new, proposed, or under-construction)
6. **Land_size**: 0.0428 acres (approximately 1727 sqft)
7. **Floor_size**: 1092 sqft
8. **Beds**: 3 bedrooms
9. **Baths**: 2 bathrooms
10. **Land_type**: Kekal (in-perpetuity)
11. **Additional Remark**:
	* Last few units left
	* Located at Jalan Bukit Nenas, Sg. 1159
	* Accessed through a straight drive on Jalan Tutong"
"10","Here are the extracted details:

1. **kampong**: None mentioned
2. **price**: Not mentioned explicitly, but there's mention of ""complimentary home upgrades valued up to 5,000""
3. **type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Not mentioned
	* Semi-detached: Not mentioned (but implied as part of a promotion for multiple units)
4. **storey**: Single storey not explicitly mentioned, but 1580 sqft suggests it's likely a double storey unit
5. **status**:
	* New: Implied as the homes are being upgraded and promoted
	* Proposed: Not mentioned
	* Under-construction: Not mentioned
6. **land_size**: 
	* Plot C: 0.064 acres
	* Plot D: 0.101 acres (approximately)
7. **floor_size**: 1580 sqft
8. **beds**: 4 bedrooms
9. **baths**: 2 bathrooms
10. **land_type**:
	* Leasehold: Not mentioned
	* In perpetuity: Not mentioned
	* Kekal: Not mentioned (but plot sizes suggest it may be leasehold)
11. **Additional Remark**:
	* Promotional offer with complimentary upgrades valued up to 5,000
	* Floorplan and site plan available upon request"
